Scene,Participant Number:,13. How mentally demanding was the task?  ,14. How physically demanding was the task?  ,15. How hurried or rushed was the pace of the task? ,16. How successful were you in accomplishing what you were asked to do?  ,17. How hard did you have to work to accomplish your level of performance?  ,"18. How insecure, discouraged, irritated, stressed, and annoyed were you? ",Sum,NASA-TLX Score
2D,P01,3,3,1,10,2,1,20,3.333333333
2D,P02,4,3,2,10,1,1,21,3.5
2D,P03,2,1,1,10,2,1,17,2.833333333
2D,P04,2,1,3,8,3,4,21,3.5
2D,P05,5,1,1,10,1,1,19,3.166666667
2D,P06,3,2,1,9,3,1,19,3.166666667
2D,P07,5,8,5,9,6,1,34,5.666666667
2D,P08,3,3,2,8,6,1,23,3.833333333
2D,P9,2,2,1,10,9,1,25,4.166666667
2D,P10,3,4,4,9,3,2,25,4.166666667
2D,P11,3,3,8,10,3,4,31,5.166666667
2D,P12,1,3,1,10,1,1,17,2.833333333
3D,P 1,2,3,10,2,1,5,23,3.833333333
3D,P02,1,2,1,10,2,1,17,2.833333333
3D,P03,3,5,1,10,1,1,21,3.5
3D,P04,3,1,1,10,2,2,19,3.166666667
3D,P05,5,3,5,8,3,3,27,4.5
3D,P07,3,2,3,9,3,2,22,3.666666667
3D,P06,6,3,4,7,4,6,30,5
3D,P08,3,2,5,10,3,1,24,4
3D,P09,2,2,3,9,2,1,19,3.166666667
3D,P10,1,1,5,10,1,1,19,3.166666667
3D,P11,2,1,2,9,3,2,19,3.166666667
3D,P12,2,2,2,10,2,2,20,3.333333333
