Scene,Participant Number:,3. I think that I would like to use this system frequently.,,4. I found the system unnecessarily complex. ,,5. I thought the system was easy to use.  ,,6. I think that I would need the support of a technical person to be able to use this system.   ,,7. I found the various functions in this system were well integrated.  ,,8. I thought there was too much inconsistency in this system  ,,9. I would imagine that most people would learn to use this system very quickly.  ,,10. I found the system very cumbersome to use.  ,,11. I felt very confident using the system.  ,,12. I needed to learn a lot of things before I could get going with this system.  ,,SUS Score,sus
2D,P01,4,3,1,4,5,4,2,3,4,3,1,4,4,3,2,3,4,3,2,3,82.5,33
2D,P02,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100,40
2D,P03,4,3,1,4,5,4,1,4,5,4,1,4,3,2,1,4,4,3,2,3,87.5,35
2D,P04,5,4,2,3,5,4,1,4,5,4,3,2,4,3,2,3,5,4,3,2,82.5,33
2D,P05,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100,40
2D,P06,4,3,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,97.5,39
2D,P07,5,4,2,3,5,4,2,3,5,4,2,3,4,3,1,4,4,3,1,4,87.5,35
2D,P08,5,4,2,3,4,3,2,3,3,2,3,2,4,3,2,3,4,3,2,3,72.5,29
2D,P9,4,3,1,4,4,3,3,2,4,3,2,3,4,3,4,1,5,4,4,1,67.5,27
2D,P10,2,1,3,2,4,3,1,4,4,3,2,3,5,4,2,3,4,3,1,4,75,30
2D,P11,4,3,1,4,5,4,5,0,5,4,1,4,5,4,4,1,5,4,2,3,77.5,31
2D,P12,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100,40
3D,P 1,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,4,1,2.5,1
3D,P02,5,4,2,3,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,97.5,39
3D,P03,4,3,2,3,4,3,1,4,4,3,2,3,4,3,1,4,5,4,1,4,85,34
3D,P04,5,4,1,4,1,0,1,4,5,4,3,2,5,4,1,4,5,4,1,4,85,34
3D,P05,5,4,2,3,4,3,3,2,3,2,2,3,4,3,2,3,3,2,2,3,70,28
3D,P07,3,2,1,4,4,3,2,3,4,3,2,3,4,3,2,3,5,4,3,2,75,30
3D,P06,5,4,2,3,5,4,2,3,5,4,2,3,5,4,2,3,5,4,2,3,87.5,35
3D,P08,3,2,1,4,5,4,3,2,4,3,2,3,5,4,2,3,4,3,1,4,80,32
3D,P09,5,4,2,3,5,4,2,3,5,4,1,4,4,3,1,4,5,4,1,4,92.5,37
3D,P10,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100,40
3D,P11,1,0,2,3,5,4,3,2,3,2,3,2,3,2,4,1,2,1,4,1,45,18
3D,P12,5,4,2,3,5,4,4,1,4,3,1,4,3,2,2,3,4,3,2,3,75,30
