Scene,Participant,variable,value
2D Label,P01,Completion Time,99.09
2D Label,P02,Completion Time,137.66
2D Label,P03,Completion Time,101.41
2D Label,P04,Completion Time,112.35
2D Label,P05,Completion Time,166.27
2D Label,P06,Completion Time,185.52
2D Label,P07,Completion Time,120.6
2D Label,P08,Completion Time,230.42
2D Label,P10,Completion Time,170.39
2D Label,P11,Completion Time,185.64
2D Label,P12,Completion Time,100.03
3D Ghost,P02,Completion Time,116.99
3D Ghost,P03,Completion Time,212.37
3D Ghost,P04,Completion Time,110.81
3D Ghost,P05,Completion Time,114.93
3D Ghost,P06,Completion Time,90.1
3D Ghost,P07,Completion Time,160.43
3D Ghost,P08,Completion Time,84.12
3D Ghost,P09,Completion Time,201.7
3D Ghost,P10,Completion Time,198.5
3D Ghost,P11,Completion Time,89.92
3D Ghost,P12,Completion Time,154.79
2D Label,P01,Mental Demand,3.0
2D Label,P02,Mental Demand,4.0
2D Label,P03,Mental Demand,2.0
2D Label,P04,Mental Demand,2.0
2D Label,P05,Mental Demand,5.0
2D Label,P06,Mental Demand,3.0
2D Label,P07,Mental Demand,5.0
2D Label,P08,Mental Demand,3.0
2D Label,P10,Mental Demand,3.0
2D Label,P11,Mental Demand,3.0
2D Label,P12,Mental Demand,1.0
3D Ghost,P02,Mental Demand,1.0
3D Ghost,P03,Mental Demand,3.0
3D Ghost,P04,Mental Demand,3.0
3D Ghost,P05,Mental Demand,5.0
3D Ghost,P06,Mental Demand,6.0
3D Ghost,P07,Mental Demand,3.0
3D Ghost,P08,Mental Demand,3.0
3D Ghost,P09,Mental Demand,2.0
3D Ghost,P10,Mental Demand,1.0
3D Ghost,P11,Mental Demand,2.0
3D Ghost,P12,Mental Demand,2.0
2D Label,P01,Physical Demand,3.0
2D Label,P02,Physical Demand,3.0
2D Label,P03,Physical Demand,1.0
2D Label,P04,Physical Demand,1.0
2D Label,P05,Physical Demand,1.0
2D Label,P06,Physical Demand,2.0
2D Label,P07,Physical Demand,8.0
2D Label,P08,Physical Demand,3.0
2D Label,P10,Physical Demand,4.0
2D Label,P11,Physical Demand,3.0
2D Label,P12,Physical Demand,3.0
3D Ghost,P02,Physical Demand,2.0
3D Ghost,P03,Physical Demand,5.0
3D Ghost,P04,Physical Demand,1.0
3D Ghost,P05,Physical Demand,3.0
3D Ghost,P06,Physical Demand,3.0
3D Ghost,P07,Physical Demand,2.0
3D Ghost,P08,Physical Demand,2.0
3D Ghost,P09,Physical Demand,2.0
3D Ghost,P10,Physical Demand,1.0
3D Ghost,P11,Physical Demand,1.0
3D Ghost,P12,Physical Demand,2.0
2D Label,P01,Temporal Demand,1.0
2D Label,P02,Temporal Demand,2.0
2D Label,P03,Temporal Demand,1.0
2D Label,P04,Temporal Demand,3.0
2D Label,P05,Temporal Demand,1.0
2D Label,P06,Temporal Demand,1.0
2D Label,P07,Temporal Demand,5.0
2D Label,P08,Temporal Demand,2.0
2D Label,P10,Temporal Demand,4.0
2D Label,P11,Temporal Demand,8.0
2D Label,P12,Temporal Demand,1.0
3D Ghost,P02,Temporal Demand,1.0
3D Ghost,P03,Temporal Demand,1.0
3D Ghost,P04,Temporal Demand,1.0
3D Ghost,P05,Temporal Demand,5.0
3D Ghost,P06,Temporal Demand,4.0
3D Ghost,P07,Temporal Demand,3.0
3D Ghost,P08,Temporal Demand,5.0
3D Ghost,P09,Temporal Demand,3.0
3D Ghost,P10,Temporal Demand,5.0
3D Ghost,P11,Temporal Demand,2.0
3D Ghost,P12,Temporal Demand,2.0
2D Label,P01,Performance,10.0
2D Label,P02,Performance,10.0
2D Label,P03,Performance,10.0
2D Label,P04,Performance,8.0
2D Label,P05,Performance,10.0
2D Label,P06,Performance,9.0
2D Label,P07,Performance,9.0
2D Label,P08,Performance,8.0
2D Label,P10,Performance,9.0
2D Label,P11,Performance,10.0
2D Label,P12,Performance,10.0
3D Ghost,P02,Performance,10.0
3D Ghost,P03,Performance,10.0
3D Ghost,P04,Performance,10.0
3D Ghost,P05,Performance,8.0
3D Ghost,P06,Performance,7.0
3D Ghost,P07,Performance,9.0
3D Ghost,P08,Performance,10.0
3D Ghost,P09,Performance,9.0
3D Ghost,P10,Performance,10.0
3D Ghost,P11,Performance,9.0
3D Ghost,P12,Performance,10.0
2D Label,P01,Effort,2.0
2D Label,P02,Effort,1.0
2D Label,P03,Effort,2.0
2D Label,P04,Effort,3.0
2D Label,P05,Effort,1.0
2D Label,P06,Effort,3.0
2D Label,P07,Effort,6.0
2D Label,P08,Effort,6.0
2D Label,P10,Effort,3.0
2D Label,P11,Effort,3.0
2D Label,P12,Effort,1.0
3D Ghost,P02,Effort,2.0
3D Ghost,P03,Effort,1.0
3D Ghost,P04,Effort,2.0
3D Ghost,P05,Effort,3.0
3D Ghost,P06,Effort,4.0
3D Ghost,P07,Effort,3.0
3D Ghost,P08,Effort,3.0
3D Ghost,P09,Effort,2.0
3D Ghost,P10,Effort,1.0
3D Ghost,P11,Effort,3.0
3D Ghost,P12,Effort,2.0
2D Label,P01,Frustration,1.0
2D Label,P02,Frustration,1.0
2D Label,P03,Frustration,1.0
2D Label,P04,Frustration,4.0
2D Label,P05,Frustration,1.0
2D Label,P06,Frustration,1.0
2D Label,P07,Frustration,1.0
2D Label,P08,Frustration,1.0
2D Label,P10,Frustration,2.0
2D Label,P11,Frustration,4.0
2D Label,P12,Frustration,1.0
3D Ghost,P02,Frustration,1.0
3D Ghost,P03,Frustration,1.0
3D Ghost,P04,Frustration,2.0
3D Ghost,P05,Frustration,3.0
3D Ghost,P06,Frustration,6.0
3D Ghost,P07,Frustration,2.0
3D Ghost,P08,Frustration,1.0
3D Ghost,P09,Frustration,1.0
3D Ghost,P10,Frustration,1.0
3D Ghost,P11,Frustration,2.0
3D Ghost,P12,Frustration,2.0
2D Label,P01,Sum,20.0
2D Label,P02,Sum,21.0
2D Label,P03,Sum,17.0
2D Label,P04,Sum,21.0
2D Label,P05,Sum,19.0
2D Label,P06,Sum,19.0
2D Label,P07,Sum,34.0
2D Label,P08,Sum,23.0
2D Label,P10,Sum,25.0
2D Label,P11,Sum,31.0
2D Label,P12,Sum,17.0
3D Ghost,P02,Sum,17.0
3D Ghost,P03,Sum,21.0
3D Ghost,P04,Sum,19.0
3D Ghost,P05,Sum,27.0
3D Ghost,P06,Sum,30.0
3D Ghost,P07,Sum,22.0
3D Ghost,P08,Sum,24.0
3D Ghost,P09,Sum,19.0
3D Ghost,P10,Sum,19.0
3D Ghost,P11,Sum,19.0
3D Ghost,P12,Sum,20.0
2D Label,P01,NASA-TLX Score,3.333333333
2D Label,P02,NASA-TLX Score,3.5
2D Label,P03,NASA-TLX Score,2.833333333
