Scene,Participant,Completion Time,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Sum,NASA-TLX Score,General discomfort,Fatigue,Headache,Eye strain,Difficulty focusing,Increased salivation,Sweating,Nausea Level,Difficulty concentrating,Fullness of head,Blurred vision,Dizziness (eyes open),Dizziness (eyes closed),Vertigo,Stomach awareness,Burping,Sum1,Nausea,sum2,Oculomotor,sum3,Disorientation,sum4,Sum5,SSQ Score,SUS:I think that I would like to use this system frequently.,Unnamed: 3,SUS:I found the system unnecessarily complex. ,Unnamed: 5,SUS:I thought the system was easy to use.  ,Unnamed: 7,SUS:I think that I would need the support of a technical person to be able to use this system.   ,Unnamed: 9,SUS:I found the various functions in this system were well integrated.  ,Unnamed: 11,SUS:I thought there was too much inconsistency in this system  ,Unnamed: 13,SUS:I would imagine that most people would learn to use this system very quickly.  ,Unnamed: 15,SUS:I found the system very cumbersome to use.  ,Unnamed: 17,SUS:I felt very confident using the system.  ,Unnamed: 19,SUS:I needed to learn a lot of things before I could get going with this system.  ,Unnamed: 21,SUS Score,SUS Points
2D Label,P01,99.09,3,3,1,10,2,1,20,3.333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2,15.16,1,13.92,2,0.041666667,11.22,4,3,1,4,5,4,2,3,4,3,1,4,4,3,2,3,4,3,2,3,82.5,33
2D Label,P02,137.66,4,3,2,10,1,1,21,3.5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,2,15.16,2,27.84,3,0.0625,14.96,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100.0,40
2D Label,P03,101.41,2,1,1,10,2,1,17,2.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4,3,1,4,5,4,1,4,5,4,1,4,3,2,1,4,4,3,2,3,87.5,35
2D Label,P04,112.35,2,1,3,8,3,4,21,3.5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,19.08,5,37.9,2,27.84,5,0.104166667,33.66,5,4,2,3,5,4,1,4,5,4,3,2,4,3,2,3,5,4,3,2,82.5,33
2D Label,P05,166.27,5,1,1,10,1,1,19,3.166666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9.54,1,7.58,0,0.0,1,0.020833333,7.48,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100.0,40
2D Label,P06,185.52,3,2,1,9,3,1,19,3.166666667,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,9.54,4,30.32,5,69.6,6,0.125,37.4,4,3,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,97.5,39
2D Label,P07,120.6,5,8,5,9,6,1,34,5.666666667,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,19.08,4,30.32,2,27.84,4,0.083333333,29.92,5,4,2,3,5,4,2,3,5,4,2,3,4,3,1,4,4,3,1,4,87.5,35
2D Label,P08,230.42,3,3,2,8,6,1,23,3.833333333,1,1,0,2,1,0,0,1,0,0,2,0,0,1,0,0,2,19.08,7,53.06,5,69.6,9,0.1875,52.36,5,4,2,3,4,3,2,3,3,2,3,2,4,3,2,3,4,3,2,3,72.5,29
2D Label,P10,170.39,3,4,4,9,3,2,25,4.166666667,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,9.54,4,30.32,5,69.6,7,0.145833333,37.4,2,1,3,2,4,3,1,4,4,3,2,3,5,4,2,3,4,3,1,4,75.0,30
2D Label,P11,185.64,3,3,8,10,3,4,31,5.166666667,1,2,2,0,0,0,1,1,0,0,1,1,1,0,0,0,3,28.62,6,45.48,4,55.68,10,0.208333333,48.62,4,3,1,4,5,4,5,0,5,4,1,4,5,4,4,1,5,4,2,3,77.5,31
2D Label,P12,100.03,1,3,1,10,1,1,17,2.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,100.0,40
3D Ghost,P02,116.99,1,2,1,10,2,1,17,2.833333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,7.58,1,13.92,1,0.020833333,7.48,5,4,2,3,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,97.5,39
3D Ghost,P03,212.37,3,5,1,10,1,1,21,3.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.54,2,15.16,0,0.0,2,0.041666667,11.22,4,3,2,3,4,3,1,4,4,3,2,3,4,3,1,4,5,4,1,4,85.0,34
